displacement_mm,force_N
0.0,0.0
0.00504,1058.824
0.01008,2117.647
0.01513,3176.471
0.02017,4235.294
0.02521,5294.118
0.03025,6352.941
0.03529,7411.765
0.04034,8470.588
0.04538,9529.412
0.05042,10588.235
0.05546,11647.059
0.0605,12705.882
0.06555,13764.706
0.07059,14823.529
0.07563,15882.353
0.08067,16941.176
0.08571,17505.0
0.09076,17515.588
0.0958,17526.176
0.10084,17536.765
0.10588,17547.353
0.11092,17557.941
0.11597,17568.529
0.12101,17579.118
0.12605,17589.706
0.13109,17600.294
0.13613,17610.882
0.14118,17621.471
0.14622,17632.059
0.15126,17642.647
0.1563,17653.235
0.16134,17663.824
0.16639,17674.412
0.17143,17685.0
0.17647,17695.588
0.18151,17706.176
0.18655,17716.765
0.1916,17727.353
0.19664,17737.941
0.20168,17748.529
0.20672,17759.118
0.21176,17769.706
0.21681,17780.294
0.22185,17790.882
0.22689,17801.471
0.23193,17812.059
0.23697,17822.647
0.24202,17833.235
0.24706,17843.824
0.2521,17854.412
0.25714,17865.0
0.26218,17875.588
0.26723,17886.176
0.27227,17896.765
0.27731,17907.353
0.28235,17917.941
0.28739,17928.529
0.29244,17939.118
0.29748,17949.706
0.30252,17960.294
0.30756,17970.882
0.31261,17981.471
0.31765,17992.059
0.32269,18002.647
0.32773,18013.235
0.33277,18023.824
0.33782,18034.412
0.34286,18045.0
0.3479,18055.588
0.35294,18066.176
0.35798,18076.765
0.36303,18087.353
0.36807,18097.941
0.37311,18108.529
0.37815,18119.118
0.38319,18129.706
0.38824,18140.294
0.39328,18150.882
0.39832,18161.471
0.40336,18172.059
0.4084,18182.647
0.41345,18193.235
0.41849,18203.824
0.42353,18214.412
0.42857,18225.0
0.43361,18235.588
0.43866,18246.176
0.4437,18256.765
0.44874,18267.353
0.45378,18277.941
0.45882,18288.529
0.46387,18299.118
0.46891,18309.706
0.47395,18320.294
0.47899,18330.882
0.48403,18341.471
0.48908,18352.059
0.49412,18362.647
0.49916,18373.235
0.5042,18383.824
0.50924,18394.412
0.51429,18405.0
0.51933,18415.588
0.52437,18426.176
0.52941,18436.765
0.53445,18447.353
0.5395,18457.941
0.54454,18468.529
0.54958,18479.118
0.55462,18489.706
0.55966,18500.294
0.56471,18510.882
0.56975,18521.471
0.57479,18532.059
0.57983,18542.647
0.58487,18553.235
0.58992,18563.824
0.59496,18574.412
0.6,18585.0
