time_s,accel_g
0.0,-0.1166
0.001,0.2934
0.002,0.0104
0.003,-0.258
0.004,-0.207
0.005,0.2487
0.006,0.0347
0.007,0.0106
0.008,-0.0118
0.009,0.0084
0.01,0.1772
0.011,0.1216
0.012,0.0475
0.013,-0.2294
0.014,0.1124
0.015,-0.1505
0.016,0.2406
0.017,-0.2796
0.018,-0.0303
0.019,0.0195
0.02,-0.2072
0.021,0.5678
0.022,0.6564
0.023,0.4196
0.024,0.9176
0.025,1.0958
0.026,0.7393
0.027,1.707
0.028,2.0101
0.029,2.4459
0.03,2.625
0.031,3.2651
0.032,3.7736
0.033,4.5862
0.034,4.9314
0.035,5.4082
0.036,6.3131
0.037,6.4349
0.038,7.0619
0.039,7.3458
0.04,8.6929
0.041,9.1636
0.042,9.7554
0.043,10.2987
0.044,10.7664
0.045,11.3699
0.046,11.8344
0.047,12.3965
0.048,12.9863
0.049,13.819
0.05,14.0971
0.051,14.4245
0.052,14.7441
0.053,15.1359
0.054,15.9999
0.055,16.0963
0.056,16.3016
0.057,16.4752
0.058,16.5336
0.059,16.9494
0.06,17.3024
0.061,17.1287
0.062,17.2281
0.063,17.2506
0.064,17.3022
0.065,16.8646
0.066,17.0584
0.067,16.7762
0.068,16.9722
0.069,16.3819
0.07,16.4137
0.071,16.3203
0.072,15.5783
0.073,15.1432
0.074,14.9137
0.075,14.4369
0.076,13.7562
0.077,13.5878
0.078,13.4178
0.079,12.3846
0.08,11.8452
0.081,11.0926
0.082,10.8123
0.083,9.8773
0.084,9.3102
0.085,9.233
0.086,8.1485
0.087,7.9834
0.088,7.483
0.089,6.6141
0.09,6.0985
0.091,5.8389
0.092,4.8146
0.093,4.1943
0.094,3.5151
0.095,3.3336
0.096,3.1873
0.097,2.6387
0.098,1.8164
0.099,1.4637
0.1,1.2034
0.101,1.0768
0.102,0.7026
0.103,0.5688
0.104,0.4004
0.105,0.1233
0.106,0.0753
0.107,0.0665
0.108,-0.0185
0.109,-0.1659
0.11,-0.1238
0.111,-0.6435
0.112,-0.9769
0.113,-1.5511
0.114,-1.2598
0.115,-1.9114
0.116,-1.9037
0.117,-1.4887
0.118,-1.5769
0.119,-1.7941
0.12,-2.1404
0.121,-1.8245
0.122,-1.8477
0.123,-1.4926
0.124,-1.0512
0.125,-1.3983
0.126,-1.5007
0.127,-1.4576
0.128,-1.0733
0.129,-0.953
0.13,-1.0155
0.131,-0.5818
0.132,-0.7052
0.133,-0.0537
0.134,0.0855
0.135,0.2348
0.136,0.0291
0.137,0.375
0.138,0.3511
0.139,0.4016
0.14,0.5075
0.141,0.3782
0.142,0.4152
0.143,0.9627
0.144,0.7874
0.145,0.905
0.146,1.0924
0.147,0.4926
0.148,0.691
0.149,0.8804
0.15,0.8959
0.151,0.6849
0.152,0.944
0.153,0.7063
0.154,0.3292
0.155,0.3226
0.156,0.6319
0.157,0.4816
0.158,-0.1149
0.159,0.5224
0.16,0.2814
0.161,0.371
0.162,-0.0806
0.163,-0.1293
0.164,-0.3758
0.165,0.3714
0.166,-0.2785
0.167,0.0622
0.168,-0.4703
0.169,-0.3261
0.17,-0.7573
0.171,-0.4945
0.172,-0.2079
0.173,-0.7071
0.174,-0.1969
0.175,-0.3537
0.176,-0.647
0.177,-0.5118
0.178,-0.4819
0.179,-0.367
0.18,-0.4456
0.181,-0.4781
0.182,-0.3291
0.183,-0.4521
0.184,-0.4727
0.185,-0.1616
0.186,0.0813
0.187,-0.4117
0.188,-0.0376
0.189,-0.1458
0.19,-0.184
0.191,0.2503
0.192,-0.0223
0.193,0.4478
0.194,-0.03
0.195,0.2469
0.196,0.1289
0.197,0.0267
0.198,0.3323
0.199,0.1759
0.2,0.3465
0.201,0.204
0.202,-0.0269
0.203,0.1844
0.204,0.2105
0.205,0.3998
0.206,-0.0227
0.207,0.154
0.208,-0.2317
0.209,0.2736
0.21,-0.1254
0.211,-0.3033
0.212,0.0623
0.213,0.2997
0.214,-0.2976
0.215,-0.2199
0.216,-0.1617
0.217,-0.2634
0.218,0.0529
0.219,-0.2227
0.22,-0.2169
0.221,0.0585
0.222,-0.2461
0.223,0.0068
0.224,-0.3089
0.225,-0.3671
0.226,-0.5077
0.227,0.3036
0.228,-0.1766
0.229,-0.0514
0.23,-0.1094
0.231,-0.0635
0.232,-0.0828
0.233,0.3321
0.234,-0.3093
0.235,-0.4157
0.236,-0.2874
0.237,-0.3496
0.238,0.1175
0.239,0.1429
0.24,-0.2397
0.241,-0.3248
0.242,-0.0879
0.243,0.3049
0.244,-0.6131
0.245,0.1308
0.246,-0.2145
0.247,0.2575
0.248,-0.2027
0.249,-0.0233
0.25,-0.2877
